stand,date_1,nb_cats_1,date_2,date_3,date_4,nb_people_4,date_5,nb_people_5,time_property_5,nb_cats_5,date_6,nb_people_6,newhouse_6,date_7,nb_people_7,moving_7,date_8,nb_people_8,moving_8,ndohh_8,dohh_enough_8,dohh_toomany_8,date_9,nb_people_9,moving_9,ndohh_9,dohh_enough_9,dohh_toomany_9,dohh_number_9,date_10,nb_people_10,moving_10,ndohh_10,dohh_enough_10,dohh_toomany_10,dohh_number_10,date_11,nb_people_11,ndohh_11,dohh_enough_11,dohh_toomany_11,dohh_number_11,date_12,inhabited_12,stand_household_12,time_property_12,new_house_12,ndohh_12,dohh_toomany_12,dohh_enough_12
C-20117,08/18/2011,0,01/10/2012,12/18/2012,3,07/24/2012,06/10/2013,1,4,0,02/04/2014,1,0,05/21/2014,1,1,10/01/2014,1,1,0,,,05/12/2015,1,1,1,,,1,11/24/2015,1,1,1,,,,13-Apr-16,1,1,,,1,,,,,,,,
C-20118,08/17/2011,0,01/10/2012,12/18/2012,5,,06/12/2013,6,4,0,02/04/2014,5,0,,,,10/09/2014,5,1,1,,,,,,,,,,11/10/2015,5,1,,88,,,12-Apr-16,5,,88,,,,,,,,,,
C-20119,08/18/2011,0,01/10/2012,12/18/2012,7,07/24/2012,05/30/2013,7,4,0,05/07/2014,7,0,05/22/2014,6,1,,,,,,,,,,,,,,,,,,,,,13-Apr-16,5,,88,,,2016/11/17,1,1,4,,,,88
C-20120,08/18/2011,0,12/23/2011,12/18/2012,5,,06/14/2013,5,4,0,02/06/2014,6,0,,,,,,,,,,07/15/2015,9,1,,88,,,11/10/2015,7,1,,88,,,13-Apr-16,7,,88,,,2016/11/24,1,1,4,,88,,
C-20121,,,,12/18/2012,1,,10/01/2013,88,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-20122,08/18/2011,0,01/04/2012,12/18/2012,5,07/24/2012,05/30/2013,5,4,0,02/04/2014,5,0,05/21/2014,5,1,10/01/2014,5,1,0,,,05/08/2015,1,1,88,,,,11/10/2015,5,1,88,,,,05-Apr-16,5,1,,,1,2016/11/16,1,1,4,,0,,
C-20123,08/18/2011,0,01/04/2012,12/18/2012,1,07/24/2012,05/30/2013,2,4,0,02/04/2014,3,0,05/21/2014,2,1,10/01/2014,2,1,0,,,05/08/2015,1,1,0,,,,11/10/2015,4,1,0,,,,05-Apr-16,4,88,,,,2016/11/16,1,1,4,,0,,
C-20124,08/18/2011,0,01/04/2012,12/18/2012,5,07/24/2012,05/30/2013,7,4,0,02/04/2014,6,0,05/21/2014,7,1,10/02/2014,8,1,0,,,05/08/2015,8,1,0,,,,11/10/2015,8,1,0,,,,05-Apr-16,8,0,,,,2016/11/16,1,1,4,,0,,
C-20125,08/18/2011,0,02/03/2012,,,,08/12/2013,2,4,0,02/05/2014,2,0,05/21/2014,2,1,10/02/2014,2,1,,0,,05/08/2015,2,1,,1,1,2,,,,,,,,12-Apr-16,2,,88,,,2016/11/16,1,1,4,,,,88
C-20126,08/18/2011,0,01/04/2012,,,06/14/2012,05/29/2013,,4,0,02/04/2014,2,0,05/21/2014,2,1,10/02/2014,4,1,88,,,05/08/2015,4,1,1,,,1,11/10/2015,4,1,1,,,1,05-Apr-16,4,1,,,1,2016/11/15,1,1,4,,0,,
